Fecha,Precio_Ponderado_COP/kWh,AportesHidricos_GWh,Generacion_Termica_kWh,Generacion_Hidraulica_kWh,Generacion_Solar_kWh,Tipo_noticia,AportesHidricos_GWh_MA7,MTB_Vencimiento_00Meses,MTB_Vencimiento_01Meses,MTB_Vencimiento_02Meses,MTB_Vencimiento_03Meses,MTB_Vencimiento_04Meses,MTB_Vencimiento_05Meses,MTB_Vencimiento_06Meses,Precio_COP/kWh_0-7,Precio_Bilateral_COP/kWh_0-7,Demanda_kWh_0-7,Demanda_kWh_0-7_Comprador,Demanda_Comprador_0-7_01Meses_Adelante,Demanda_Comprador_0-7_02Meses_Adelante,Demanda_Comprador_0-7_03Meses_Adelante,Demanda_Comprador_0-7_04Meses_Adelante,Demanda_Comprador_0-7_05Meses_Adelante,Demanda_Comprador_0-7_06Meses_Adelante,Disponibilidad_kWh_0-7,Ratio_Cobertura_0-7,Retorno_Precio_0-7,Base_MTB_Vencimiento_00Meses,Retorno_MTB_Vencimiento_00Meses,Beta_MA30_MTB_Vencimiento_00Meses,Base_MTB_Vencimiento_01Meses,Retorno_MTB_Vencimiento_01Meses,Beta_MA30_MTB_Vencimiento_01Meses,Base_MTB_Vencimiento_02Meses,Retorno_MTB_Vencimiento_02Meses,Beta_MA30_MTB_Vencimiento_02Meses,Base_MTB_Vencimiento_03Meses,Retorno_MTB_Vencimiento_03Meses,Beta_MA30_MTB_Vencimiento_03Meses,Base_MTB_Vencimiento_04Meses,Retorno_MTB_Vencimiento_04Meses,Beta_MA30_MTB_Vencimiento_04Meses,Base_MTB_Vencimiento_05Meses,Retorno_MTB_Vencimiento_05Meses,Beta_MA30_MTB_Vencimiento_05Meses,Base_MTB_Vencimiento_06Meses,Retorno_MTB_Vencimiento_06Meses,Beta_MA30_MTB_Vencimiento_06Meses
2022-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-02,196.0417,213.389,38209079.95,119726013.03,1324959.14,0.977190469887651,213.389,266.0,258.0,236.5,206.4,206.95,206.4,206.4,188.09407142857145,241.48,45408744.63,6112.581,233828.02500000002,251441.614,250423.252,252714.27300000002,230845.404,240934.582,105432415.9065,2.3218526908326904,,77.90592857142855,,,69.90592857142855,,,48.40592857142855,,,18.305928571428552,,,18.855928571428535,,,18.305928571428552,,,18.305928571428552,,
2022-01-03,198.9087,216.1326,40743104.55,125160173.39,1364370.37,0.977190469887651,214.76080000000002,266.0,258.0,236.5,206.4,206.95,206.4,206.4,145.7166,241.48,44031728.92,5856.6320000000005,233828.02500000002,251441.614,250423.252,252714.27300000002,230845.404,240934.582,106530707.234,2.419407773597821,-0.2552785781710419,120.2834,0.0,,112.2834,0.0,,90.7834,0.0,,60.683400000000006,0.0,,61.23339999999999,0.0,,60.683400000000006,0.0,,60.683400000000006,0.0,
2022-01-04,206.4392,202.5926,45120081.28,146881478.98,1310334.27,0.977190469887651,210.70473333333334,266.0,258.0,236.5,206.4,206.95,206.4,206.4,162.7445,241.48,47329942.19,7160.325,233828.02500000002,251441.614,250423.252,252714.27300000002,230845.404,240934.582,106531721.3056,2.250831426709588,0.11051784690499522,103.25550000000001,0.0,,95.25550000000001,0.0,,73.75550000000001,0.0,,43.65550000000002,0.0,,44.2055,0.0,,43.65550000000002,0.0,,43.65550000000002,0.0,
2022-01-05,164.5894,192.1692,34644912.16,164190684.85,1368621.77,0.977190469887651,206.07085,252.7,250.26,236.5,206.4,206.95,206.4,206.4,101.90794285714286,241.48,49615997.25,7983.658,233828.02500000002,251441.614,250423.252,252714.27300000002,230845.404,240934.582,106925779.2126,2.1550666143790953,-0.46811160159624793,150.79205714285712,-0.05129329438755058,,148.35205714285712,-0.030459207484708574,,134.59205714285713,0.0,,104.49205714285715,0.0,,105.04205714285713,0.0,,104.49205714285715,0.0,,104.49205714285715,0.0,
2022-01-06,176.2716,183.0946,30259227.35,169785451.29,1373725.95,0.8535830339442734,201.47560000000001,239.86,242.73,230.68,206.4,206.95,206.4,206.4,114.6214,241.48,49886523.94,8641.944,233828.02500000002,251441.614,250423.252,252714.27300000002,230845.404,240934.582,108081882.5188,2.1665546921808643,0.11756463856367982,125.23860000000002,-0.05214759459057341,,128.1086,-0.030550662949050945,,116.05860000000001,-0.024916739184775737,,91.77860000000001,0.0,,92.3286,0.0,,91.77860000000001,0.0,,91.77860000000001,0.0,
2022-01-07,192.5089,209.8716,30694720.13,170473582.75,1261827.19,0.8741842732681698,202.87493333333336,227.03,235.21,224.87,215.0,206.4,206.4,206.4,181.3975,241.48,50295120.29,8605.058,233828.02500000002,251441.614,250423.252,252714.27300000002,230845.404,240934.582,108632440.6498,2.1599002054956613,0.45905623256591416,45.63249999999999,-0.054973252464041125,,53.8125,-0.03147098236040564,,43.4725,-0.025509011298470247,,33.60249999999999,0.0408219945202552,,25.002499999999998,-0.0026611845873336427,,25.002499999999998,0.0,,25.002499999999998,0.0,
2022-01-08,198.512,243.4076,30647433.29,170950134.35,1242795.53,0.88889944421381,208.6653142857143,214.2,227.68,219.07,218.57,207.18,206.4,206.4,183.5816,241.48,50514151.02,8830.411,233828.02500000002,251441.614,250423.252,252714.27300000002,230845.404,240934.582,108467721.9458,2.1472739768080933,0.011968499411158084,30.61839999999998,-0.05817200932588557,,44.0984,-0.03253759778591004,,35.488399999999984,-0.02613114400133352,,34.988399999999984,0.01646830123443317,,23.598399999999998,0.00377194702254824,,22.818399999999997,0.0,,22.818399999999997,0.0,
2022-01-09,203.8959,187.1878,28323475.44,166868067.22,1347883.84,0.89993582242304,204.9222857142857,214.2,227.68,219.07,218.57,207.18,206.4,206.4,201.36881428571428,241.48,50656968.72,8695.008,233828.02500000002,251441.614,250423.252,252714.27300000002,230845.404,240934.582,109125821.5899,2.1542114411361486,0.09247886833665256,12.83118571428571,0.0,,26.311185714285727,0.0,,17.701185714285714,0.0,,17.201185714285714,0.0,,5.8111857142857275,0.0,,5.031185714285726,0.0,,5.031185714285726,0.0,
2022-01-10,199.5924,180.3552,24196135.66,154416893.26,1361124.09,0.9085196721413301,199.81122857142856,214.2,227.68,219.07,218.57,207.18,206.4,206.4,196.45627142857143,241.48,48213710.57,7746.146,233828.02500000002,251441.614,250423.252,252714.27300000002,230845.404,240934.582,103531455.7155,2.1473446970065884,-0.024698254350925798,17.743728571428562,0.0,,31.22372857142858,0.0,,22.613728571428567,0.0,,22.113728571428567,0.0,,10.72372857142858,0.0,,9.94372857142858,0.0,,9.94372857142858,0.0,
2022-01-11,203.0664,171.5968,23813963.05,156398960.27,1236504.65,0.9153867519159622,195.38325714285716,214.2,227.68,219.07,218.57,207.18,206.4,206.4,203.4368,241.48,46993257.73,7104.432000000001,233828.02500000002,251441.614,250423.252,252714.27300000002,230845.404,240934.582,97140070.0818,2.0671065334503678,0.03491552225170625,10.763199999999983,0.0,,24.2432,0.0,,15.633199999999988,0.0,,15.133199999999988,0.0,,3.7432000000000016,0.0,,2.9632000000000005,0.0,,2.9632000000000005,0.0,
2022-01-12,248.6578,169.8156,33608220.25,165430245.77,1077291.95,0.9038418930381937,192.1898857142857,205.63,220.85,216.88,218.57,207.18,206.4,206.4,213.6722,241.48,49049568.12,8356.057,233828.02500000002,251441.614,250423.252,252714.27300000002,230845.404,240934.582,95804663.3198,1.95322134305879,0.04908767341636578,-8.042200000000008,-0.040831720680221326,,7.177799999999991,-0.030457396299006855,,3.2077999999999918,-0.010047108256997986,,4.8977999999999895,0.0,,-6.492199999999997,0.0,,-7.272199999999998,0.0,,-7.272199999999998,0.0,
2022-01-13,243.673,166.6176,45039035.22,158910750.8,1316632.16,0.8756962770855168,189.83602857142859,201.72,220.08,216.38,220.0,202.5,206.4,206.4,229.4907,241.48,50266636.28,9079.18,233828.02500000002,251441.614,250423.252,252714.27300000002,230845.404,240934.582,97219815.8067,1.9340823854844182,0.07141944085058961,-27.770700000000005,-0.019197840124902492,,-9.410699999999991,-0.0034926214262162463,,-13.110700000000008,-0.002308083930982761,,-9.490700000000004,0.006521216990265552,,-26.990700000000004,-0.022848094083362122,,-23.0907,0.0,,-23.0907,0.0,
2022-01-14,239.495,182.1894,48417755.66,161080917.79,1085913.11,0.8518807558947903,185.88142857142856,200.81,219.13,215.62,220.0,202.5,206.4,206.4,233.64961428571428,241.48,50864362.97,9031.595,233828.02500000002,251441.614,250423.252,252714.27300000002,230845.404,240934.582,103821114.1051,2.0411366238152655,0.017960112520538727,-32.839614285714276,-0.004521409834156117,,-14.519614285714283,-0.004325955609007112,,-18.029614285714274,-0.003518522148455483,,-13.649614285714279,0.0,,-31.14961428571428,0.0,,-27.249614285714273,0.0,,-27.249614285714273,0.0,
2022-01-15,254.0661,269.117,51240793.21,156143553.89,1123595.9,0.8314674520170245,189.55419999999998,199.91,218.19,214.87,220.0,202.5,206.4,206.4,242.74207142857145,241.48,50724067.59,8607.452000000001,233828.02500000002,251441.614,250423.252,252714.27300000002,230845.404,240934.582,104644704.3359,2.063018785909239,0.038176826845494394,-42.83207142857145,-0.004491922106716994,,-24.552071428571452,-0.004298918172753091,,-27.872071428571445,-0.0034844050213349953,,-22.74207142857145,0.0,,-40.24207142857145,0.0,,-36.342071428571444,0.0,,-36.342071428571444,0.0,
2022-01-16,256.6133,182.3406,51267972.68,145133685.04,1131860.04,0.8411823198750664,188.86174285714287,199.91,218.19,214.87,220.0,202.5,206.4,206.4,245.1260142857143,241.48,50477304.42,9211.617,233828.02500000002,251441.614,250423.252,252714.27300000002,230845.404,240934.582,103808741.6899,2.056542893537895,0.009772977168760348,-45.216014285714294,0.0,,-26.936014285714293,0.0,,-30.256014285714286,0.0,,-25.12601428571429,0.0,,-42.62601428571429,0.0,,-38.726014285714285,0.0,,-38.726014285714285,0.0,
2022-01-17,253.7758,156.057,51136803.29,131384266.77,1083764.59,0.8496828292508529,185.3905714285714,199.91,218.19,214.87,220.0,202.5,206.4,206.4,238.96802857142856,241.48,48566699.08,8345.209,233828.02500000002,251441.614,250423.252,252714.27300000002,230845.404,240934.582,99269764.14,2.04398828869306,-0.025442651022882328,-39.058028571428565,0.0,,-20.778028571428564,0.0,,-24.098028571428557,0.0,,-18.96802857142856,0.0,,-36.46802857142856,0.0,,-32.568028571428556,0.0,,-32.568028571428556,0.0,
